y,
8,0
8,0
9,1
9,1
10,2
11,3
11,3
12,4
12,4
13,5
14,6
14,6
15,7
16,8
17,9
18,10
19,11
20,12
21,13
22,14
23,15
25,17
26,18
27,19
27,19
29,21
30,22
31,23
32,24
33,25
34,26
35,27
36,28
38,30
39,31
40,32
41,33
43,35
44,36
45,37
47,39
48,40
49,41
50,42
52,44
53,45
54,46
56,48
57,49
58,50
59,51
60,52
62,54
64,56
65,57
66,58
68,60
69,61
71,63
72,64
74,66
75,67
76,68
77,69
78,70
79,71
81,73
82,74
84,76
85,77
86,78
87,79
88,80
90,82
91,83
93,85
95,87
96,88
97,89
98,90
100,92
102,94
103,95
104,96
106,98
108,100
109,101
111,103
113,105
115,107
117,109
118,110
120,112
121,113
122,114
123,115
125,117
126,118
127,119
129,121
130,122
132,124
133,125
135,127
137,129
138,130
140,132
141,133
142,134
143,135
145,137
146,138
148,140
149,141
150,142
151,143
153,145
154,146
156,148
157,149
160,152
162,154
164,156
166,158
168,160
169,161
171,163
173,165
174,166
175,167
176,168
178,170
179,171
180,172
181,173
182,174
183,175
184,176
185,177
187,179
189,181
191,183
192,184
193,185
195,187
196,188
198,190
200,192
202,194
203,195
204,196
205,197
207,199
208,200
209,201
210,202
211,203
213,205
214,206
215,207
216,208
217,209
219,211
220,212
221,213
222,214
223,215
224,216
225,217
226,218
227,219
228,220
229,221
230,222
230,222
231,223
231,223
232,224
232,224
233,225
233,225
234,226
235,227
236,228
237,229
237,229
238,230
238,230
239,231
239,231
240,232
240,232
241,233
241,233
242,234
243,235
243,235
243,235
243,235
244,236
244,236
244,236
244,236
244,236
244,236
244,236
244,236
244,236
244,236
244,236
244,236
244,236
244,236
244,236
244,236
243,235
243,235
243,235
242,234
241,233
241,233
241,233
240,232
240,232
239,231
239,231
238,230
237,229
237,229
236,228
236,228
235,227
234,226
234,226
233,225
232,224
231,223
231,223
229,221
229,221
228,220
227,219
227,219
226,218
226,218
225,217
225,217
224,216
223,215
222,214
221,213
220,212
219,211
217,209
216,208
216,208
214,206
214,206
213,205
212,204
211,203
209,201
208,200
207,199
205,197
204,196
202,194
201,193
199,191
198,190
197,189
195,187
194,186
192,184
191,183
190,182
189,181
188,180
187,179
185,177
183,175
181,173
180,172
178,170
177,169
176,168
175,167
174,166
172,164
170,162
169,161
167,159
166,158
165,157
164,156
163,155
162,154
161,153
160,152
160,152
159,151
159,151
158,150
157,149
156,148
155,147
153,145
152,144
151,143
150,142
148,140
147,139
146,138
145,137
144,136
143,135
142,134
140,132
139,131
137,129
135,127
133,125
131,123
129,121
126,118
124,116
122,114
119,111
117,109
115,107
114,106
112,104
110,102
109,101
107,99
106,98
105,97
103,95
102,94
101,93
98,90
96,88
93,85
91,83
89,81
85,77
83,75
80,72
79,71
78,70
76,68
75,67
73,65
72,64
70,62
70,62
69,61
68,60
67,59
66,58
65,57
64,56
63,55
62,54
61,53
60,52
59,51
58,50
57,49
55,47
54,46
53,45
51,43
49,41
48,40
46,38
45,37
43,35
40,32
38,30
35,27
33,25
31,23
30,22
29,21
27,19
26,18
26,18
25,17
25,17
24,16
24,16
22,14
22,14
21,13
21,13
20,12
19,11
19,11
18,10
18,10
18,10
18,10
18,10
18,10
18,10
18,10
18,10
18,10
18,10
17,9
17,9
16,8
16,8
16,8
15,7
15,7
15,7
14,6
14,6
14,6
13,5
13,5
12,4
12,4
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
10,2
10,2
9,1
9,1
9,1
8,0
8,0
7,-1
7,-1
7,-1
6,-2
6,-2
6,-2
6,-2
6,-2
6,-2
6,-2
6,-2
6,-2
6,-2
6,-2
7,-1
7,-1
8,0
9,1
9,1
9,1
9,1
10,2
11,3
11,3
12,4
12,4
12,4
12,4
12,4
13,5
13,5
13,5
13,5
13,5
13,5
13,5
13,5
13,5
14,6
14,6
14,6
14,6
14,6
14,6
15,7
15,7
16,8
16,8
16,8
17,9
18,10
18,10
19,11
19,11
20,12
20,12
21,13
22,14
23,15
23,15
24,16
25,17
26,18
26,18
27,19
27,19
28,20
29,21
30,22
32,24
32,24
33,25
34,26
35,27
36,28
37,29
38,30
39,31
40,32
41,33
42,34
43,35
44,36
45,37
46,38
47,39
48,40
50,42
52,44
53,45
54,46
55,47
56,48
58,50
59,51
60,52
61,53
62,54
62,54
63,55
64,56
65,57
66,58
66,58
67,59
68,60
69,61
71,63
72,64
74,66
75,67
76,68
78,70
79,71
80,72
81,73
82,74
83,75
84,76
86,78
87,79
88,80
89,81
90,82
91,83
92,84
93,85
94,86
95,87
96,88
97,89
98,90
99,91
100,92
101,93
102,94
102,94
103,95
103,95
104,96
105,97
107,99
108,100
109,101
110,102
111,103
112,104
113,105
114,106
115,107
116,108
116,108
117,109
118,110
119,111
119,111
120,112
120,112
121,113
122,114
123,115
124,116
124,116
125,117
125,117
126,118
126,118
127,119
127,119
128,120
129,121
129,121
129,121
129,121
130,122
130,122
130,122
130,122
131,123
131,123
131,123
132,124
132,124
133,125
134,126
134,126
134,126
134,126
135,127
135,127
135,127
135,127
135,127
135,127
135,127
135,127
135,127
135,127
135,127
135,127
135,127
135,127
134,126
134,126
133,125
133,125
132,124
132,124
131,123
131,123
130,122
129,121
129,121
127,119
127,119
126,118
126,118
125,117
125,117
124,116
123,115
122,114
122,114
121,113
120,112
119,111
119,111
118,110
116,108
115,107
114,106
113,105
112,104
111,103
109,101
108,100
108,100
107,99
107,99
106,98
105,97
104,96
103,95
102,94
100,92
99,91
98,90
96,88
95,87
93,85
92,84
90,82
89,81
88,80
87,79
86,78
85,77
84,76
82,74
81,73
80,72
79,71
78,70
76,68
75,67
74,66
73,65
72,64
71,63
70,62
69,61
68,60
67,59
66,58
65,57
64,56
63,55
62,54
61,53
59,51
58,50
56,48
54,46
53,45
52,44
51,43
50,42
49,41
48,40
47,39
46,38
45,37
44,36
43,35
42,34
41,33
40,32
39,31
38,30
37,29
36,28
35,27
34,26
33,25
32,24
31,23
29,21
28,20
27,19
26,18
25,17
24,16
23,15
22,14
22,14
21,13
20,12
19,11
19,11
18,10
17,9
17,9
17,9
17,9
17,9
17,9
16,8
16,8
15,7
15,7
14,6
14,6
14,6
14,6
14,6
